NC,Vector Sim value (with syn),,,,
,,,,,
rush hour,0.032678276,,,,
,,,,,
insurance policy,0.31723395,,,,
,,,,,
health insurance,0.431291342,,,,
,,,,,
computer expert,0.949284077,,,,
,,,,,
radioactive material,0.409189939,,,,
,,,,,
sacred cow,0.173176885,,,,
,,,,,
human being,0.979956865,,,,
,,,,,
contact lens,0.775122523,,,,
,,,,,
search engine,0.401362032,,,,
,,,,,
iron collar,0.658237278,,,,
,,,,,
copy cat,0.462312132,,,,
,,,,,
shrinking violet,0.823488057,,,,
,,,,,
interest rate,0.459908932,,,,
,,,,,
labour union,0.27246353,,,,
,,,,,
silver bullet,0.50344795,,,,
,,,,,
crime rate,-0.753250003,,,,
,,,,,
life belt,0.67973882,,,,
,,,,,
damp squib,0.321077436,,,,
,,,,,
silver screen,0.88775748,,,,
,,,,,
dark horse,0.786668241,,,,
,,,,,
ivory tower,0.361235678,,,,
,,,,,
silver spoon,0.522412956,,,,
,,,,,
life vest,0.798478067,,,,
,,,,,
day shift,0.949939787,,,,
,,,,,
kangaroo court,0.798680365,,,,
,,,,,
sitting duck,0.455945671,,,,
,,,,,
lime tree,0.929230988,,,,
,,,,,
disability insurance,-0.025858982,,,,
,,,,,
double cross,0.948334098,,,,
,,,,,
loan shark,0.670280874,,,,
,,,,,
smoking gun,-0.097067274,,,,
,,,,,
loose woman,0.555072784,,,,
,,,,,
smoking jacket,0.747113347,,,,
,,,,,
mail service,0.893323958,,,,
,,,,,
double dutch,0.617203295,,,,
,,,,,
radioactive waste,0.9921754,,,,
,,,,,
snail mail,0.655754447,,,,
,,,,,
market place,0.146789789,,,,
,,,,,
double whammy,-0.286637694,,,,
,,,,,
rainy season,0.857420266,,,,
,,,,,
mental disorder,0.952178061,,,,
,,,,,
rice paper,0.83706665,,,,
,,,,,
middle school,0.956350505,,,,
,,,,,
snake oil,0.415048122,,,,
,,,,,
milk tooth,0.414150447,,,,
,,,,,
shelf life,0.388039112,,,,
,,,,,
speed limit,0.918146789,,,,
,,,,,
skin tone,0.948684573,,,,
,,,,,
mother tongue,0.623145998,,,,
,,,,,
spelling bee,0.87214011,,,,
,,,,,
narrow escape,0.980036438,,,,
,,,,,
net income,0.879942417,,,,
,,,,,
spinning jenny,-0.604261279,,,,
,,,,,
smoke screen,-0.156187817,,,,
,,,,,
social insurance,0.841578245,,,,
,,,,,
swan song,-0.2921682,,,,
,,,,,
speed trap,0.739283264,,,,
,,,,,
news agency,0.761168182,,,,
,,,,,
swimming pool,0.7040416,,,,
,,,,,
stag night,0.557203948,,,,
,,,,,
noble gas,0.634406209,,,,
,,,,,
think tank,0.335355669,,,,
,,,,,
video game,0.762128174,,,,
,,,,,
sugar daddy,0.482092679,,,,
,,,,,
nut case,0.770123422,,,,
,,,,,
web site,0.896247625,,,,
,,,,,
tear gas,0.944120407,,,,
,,,,,
old flame,0.885443091,,,,
,,,,,
time difference,0.614359617,,,,
,,,,,
old hat,-0.369710088,,,,
,,,,,
zebra crossing,0.637368321,,,,
,,,,,
traffic control,0.305142671,,,,
,,,,,
old timer,0.58229661,,,,
,,,,,
traffic jam,0.12564984,,,,
,,,,,
phone book,0.526077926,,,,
,,,,,
travel guide,0.9608078,,,,
,,,,,
pillow slip,0.889855802,,,,
,,,,,
wedding anniversary,0.957008898,,,,
,,,,,
pocket book,0.881199479,,,,
,,,,,
wedding day,0.796986878,,,,
,,,,,
white noise,0.805851161,,,,
,,,,,
prison guard,0.700539649,,,,
,,,,,
prison term,0.70209837,,,,
,,,,,
white spirit,0.798835397,,,,
,,,,,
private eye,0.850276232,,,,
,,,,,
winter solstice,0.11777056,,,,
,,,,,
record book,0.58696121,,,,
,,,,,
world conference,0.803819776,,,,
,,,,,
ancient history,0.527786374,,,,
,,,,,
research lab,0.854374647,,,,
,,,,,
sex bomb,0.608084202,,,,
,,,,,
silver lining,0.781388581,,,,
,,,,,
small fry,0.899513841,,,,
,,,,,
sound judgement,0.51053983,,,,
,,,,,
sparkling water,0.474574357,,,,
,,,,,
armchair critic,0.296617776,,,,
,,,,,
street girl,0.726685166,,,,
,,,,,
subway system,0.649042308,,,,
,,,,,
tennis elbow,0.820542753,,,,
,,,,,
top dog,0.559421003,,,,
,,,,,
wet blanket,0.617284,,,,
,,,,,
baby buggy,0.245417371,,,,
,,,,,
word painting,0.230351284,,,,
,,,,,
bad hat,0.92098856,,,,
,,,,,
acid test,0.844848931,,,,
,,,,,
benign tumour,0.516268373,,,,
,,,,,
big fish,0.859004498,,,,
,,,,,
agony aunt,0.665235043,,,,
,,,,,
birth rate,-0.353934109,,,,
,,,,,
application form,0.412917554,,,,
,,,,,
black cherry,0.887945294,,,,
,,,,,
balance sheet,0.473110855,,,,
,,,,,
bank account,0.942487299,,,,
,,,,,
bow tie,0.88778919,,,,
,,,,,
blame game,-0.316601902,,,,
,,,,,
brass ring,-0.215190202,,,,
,,,,,
brain teaser,0.52996695,,,,
,,,,,
brick wall,0.335187525,,,,
,,,,,
call centre,0.555710018,,,,
,,,,,
busy bee,-0.1715184,,,,
,,,,,
carpet bombing,0.32317993,,,,
,,,,,
cellular phone,0.913102031,,,,
,,,,,
close call,0.955157995,,,,
,,,,,
closed book,0.781520903,,,,
,,,,,
computer program,0.536677063,,,,
,,,,,
con artist,0.337106615,,,,
,,,,,
cooking stove,0.279689938,,,,
,,,,,
cotton candy,0.754051089,,,,
